Work,Author,Page Number
Journuls $36,Cuarcotte Forten Grime,N/A
From Journal One,Cuarcotte Forten Grime,534
From Journal Three 54),Cuarcotte Forten Grime,N/A
Up from Slavery,Booker T. WastINGTON,550
Chapter HI. The Struggle for an Education,Chapter Il,564
Chapter XIV. The Atlanta Exposition Address,Chapter Il,572
Cuarces W. Cresnutt (1858-1932),Chapter Il,380
The Goophered Grapevine,Chapter Il,382
‘The Passing of Grandison,Chapter Il,591
The Wife of His Youth,Chapter Il,602
Womanhood a Vital Element in the Regeneration and Ji»,ANNA JuLia Cooper,N/A
Progress of a Race,ANNA JuLia Cooper,619
Bro'r Abe'm Jimson's Wedding,Gordon 635,645
Famous Men of the Negro Race,Gordon 635,656
Famous Women of the Negro Race,Booker T. Washington,662
V. Literary Workers (Concluded),Booker T. Washington,662
Reply (March 1903),Pauline Hopkins�,667
A Red Record,Ipa B. Wetts,670
rr,Chapter X. The Remedy,N/A
xvi f CONTENTS,Chapter X. The Remedy,N/A
A Litany of Atlanta,W. E. B. Du Bots,684
The Song of the Smoke,W. E. B. Du Bots,686
The Souls of Black Folk,W. E. B. Du Bots,687
The Forethought,W. E. B. Du Bots,687
"1, Of Our Spiritual Strivings",W. E. B. Du Bots,688
IV. Of the Meaning of Progress,Booker T. Washington,703
V. OF the Wings of Atalanta,Booker T. Washington,709
VI. Of the Training of Black Men,Booker T. Washington,715
X. Of the Faith of the Fathers,Booker T. Washington,725
XI. Of the Passing of the First-Born,Booker T. Washington,733
XII1. Of the Coming of John,Alexander Crummell,742
XIV. The Sorrow Songs,Alexander Crummell,752
The After-Thought,Alexander Crummell,760
The Damnation of Women,Alexander Crummell,760
Criteria of Negro Art,Alexander Crummell,771
Me 'n' Dunbar,James D. Corrotners,779
Sence You Went Away,James WELDON JOHNSON,783
Lift Every Voice and Sing,James WELDON JOHNSON,783
O Black and Unknown Bards,James WELDON JOHNSON,784
Fifty Years,James WELDON JOHNSON,785
Brothers,James WELDON JOHNSON,788
The Creation,James WELDON JOHNSON,790
My City,James WELDON JOHNSON,792
The Autobiography of an Ex-Colored Man,James WELDON JOHNSON,792
‘The Book of American Negro Poetry Preface $71,James WELDON JOHNSON,N/A
Ode to Ethiopia $96,Laurence Dunsar,N/A
Worn Out,Laurence Dunsar,897
A Negro Love Song,Laurence Dunsar,898
The Colored Soldiers,Laurence Dunsar,898
An Ante-Bellum Sermon,Laurence Dunsar,900
Ere Sleep Comes Down to Soothe the Weary Eyes,Laurence Dunsar,902
Not They Who Soar,Laurence Dunsar,904
We Wear the Mask,Malindy Sings,906
Little Brown Baby,Malindy Sings,906
Her Thought and His,Malindy Sings,907
CONTENTS | avit,Malindy Sings,N/A
